abs_2012_2021,abs_2006_2011,abs_2005,col_target
AcademicYear,AcademicYear,AcademicYear,abs_academic_year
PupilMatchingRefAnonymous,PupilMatchingRefAnonymous,PupilMatchingRefAnonymous,dfe_id
EnrolStatus,EnrolStatus,EnrolStatus,abs_enrol_status
TermlyReasonI_Autumn,TermlyReasonI_Autumn,NULL,abs_autumn_absent_illness
TermlyReasonM_Autumn,TermlyReasonM_Autumn,NULL,abs_autumn_absent_medical
SessionsPossible_Autumn,SessionsPossible_Autumn,SessionsPossible_Autumn,abs_autumn_possible
OverallAbsence_Autumn,OverallAbsence_Autumn,OverallAbsence_Autumn,abs_autumn_absent_total
TermlyReasonI_Spring,TermlyReasonI_Spring,NULL,abs_spring_absent_illness
TermlyReasonM_Spring,TermlyReasonM_Spring,NULL,abs_spring_absent_medical
SessionsPossible_Spring,SessionsPossible_Spring,SessionsPossible_Spring,abs_spring_possible
OverallAbsence_Spring,OverallAbsence_Spring,OverallAbsence_Spring,abs_spring_absent_total
TermlyReasonI_Summer,TermlyReasonI_Summer,NULL,abs_summer_absent_illness
TermlyReasonM_Summer,TermlyReasonM_Summer,NULL,abs_summer_absent_medical
SessionsPossible_Summer,SessionsPossible_Summer,SessionsPossible_Summer,abs_summer_possible
OverallAbsence_Summer,OverallAbsence_Summer,OverallAbsence_Summer,abs_summer_absent_total
TermlyReasonI_Summer6th,NULL,NULL,abs_summer6th_absent_illness
TermlyReasonM_Summer6th,NULL,NULL,abs_summer6th_absent_medical
SessionsPossible_Summer6th,NULL,NULL,abs_summer6th_possible
OverallAbsence_Summer6th,NULL,NULL,abs_summer6th_absent_total
SessionsPossible_5HalfTerms,SessionsPossible_Annual,SessionsPossible_Annual,abs_annual_possible
OverallAbsence_5HalfTerms,OverallAbsence_Annual,OverallAbsence_Annual,abs_annual_absent_total
